Column1,Column2
"abate
n. "," slaughter, killing of an animal; discount, price reduction
 减轻；减少；废除"
"abate
[a·bate || ə'beɪt]
v. "," diminuir; acalmar
 减轻；减少；废除"
"abatement
[a'bate·ment || -mənt]
n. pollution abatement"," abatimento, redução, anulação
 减少；消除；减轻"
"abbreviation
[ab·bre·vi·a·tion || ə‚briːvɪ'eɪʃn]
n. "," abreviação
 缩写；缩写词"
"abdication
[ab·di·ca·tion || ‚æbdɪ'keɪʃn]
n. "," abdicação, renúncia, resignação, desistência
 辞职；退位"
"ability
[a·bil·i·ty || ə'bɪlətɪ]
n. innovation ability"," habilidade, capacidade, destreza; dom, talento, aptidão
 能力，能耐；才能"
"able
[a·ble || 'eɪbl]
adj. will be able to"," capaz, apto; competente, talentoso
 能；[经管] 有能力的；能干的"
"abnormal
n. abnormal phenomena"," abnormal, unusual, irregular, exceptional
 反常的，不规则的；变态的"
"abnormal
[ab·nor·mal || æb'nɔːml]
adj. abnormal phenomena"," anormal, irregular, anômalo, excepcional
 反常的，不规则的；变态的"
"abolish
[a·bol·ish || ə'bɒlɪʃ]
v. "," abolir, cancelar, revogar, eliminar
 废除，废止；取消，革除"
 hide from, place out of sight 隐藏；隐瞒；鞭打
 stress on, accent 压力；强调；紧张；重要性；重读
"activity
[ac·tiv·i·ty || æk'tɪvətɪ]
n. economic activity"," atividade; energia
 活动；行动；活跃"
"actual
[ac·tu·al || 'æktʃʊəl]
adj. actual situation"," atual; real
 真实的，实际的；现行的，目前的"
"actual
adj. actual situation"," current, modern; contemporary, of or pertaining to present time
 真实的，实际的；现行的，目前的"
"actually
['ac·tu·al·ly || 'æktʃʊəli]
adv. "," realmente, na verdade, na prática, de fato
 实际上；事实上"
"acute
[a·cute || ə'kjuːt]
adj. acute myocardial infarction"," agudo; fino; sério
 严重的，[医] 急性的；敏锐的；激烈的；尖声的"
"ad
[æd]
pref. ad hoc"," prefixo indicativo de direção
n. anúncio
 公元；广告（ad）"
"adapt
[a·dapt || ə'dæpt]
v. adapt to something"," adaptar; acomodar; apropriar
 使适应；改编"
"add
[æd]
v. add up"," adicionar, somar, acrescentar; complementar; juntar
ADD (attention defecit disorder) 1
[æd]
desordem por Déficite de Atenção ou Distúrbio de Déficit de Atenção ADD (accumulated degree days) 2
[æd]
(Agricultura ou Antropologia) número calculado de acordo com a temperatura do verão ADD (Analog-Digital-Digital) 3
[æd]
termo que descreve o processo digital de criação de um CD de áudio ADD (Apostrophe Deficit Disorder) 4
[æd]
condição na qual o indivíduo é incapaz de usar um apóstrofo
 加；增加；加起来；做加法"
"addendum
[ad·den·dum || ə'dendəm]
n. addendum circle"," adendo; anexo; o acrescido
 附录，附件；补遗；附加物"
"addition
[ad·di·tion || ə'dɪʃn]
n. in addition"," adição, soma; acréscimo
 添加；[数] 加法；增加物"
"address
[ad·dress || ə'dres]
n. email address"," endereço, local; destinatário; local no sistema do computador que é definido por um número ou código (Informática); palestra; discurso
v. endereçar; dirigir-se a, discursar
 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
"addressee
[ad·dress·ee || ‚ædre'siː]
n. "," destinatário
 收件人，收信人；[计] 被访地址"
"adequate
[ad·e·quate || 'ædɪkwət]
adj. adequate for"," adequado; suficiente; tolerável
 充足的；适当的；胜任的"
"adjacent
[ad·ja·cent || ə'dʒeɪsənt]
adj. adjacent rock"," adjacente, contíguo; próximo; apegado
n. dispositivo adjacente, dispositivo que é ligado diretamente a um outro
 邻近的，毗连的"
"adjourn
[ad·journ || ə'dʒɜːn]
v. "," adiar; dar fim a uma reunião; mudar para outro local, passar para um lugar distinto
 休会；延期；换地方"
"adjust
[ad·just || ə'dʒʌst]
v. adjust and control"," ajustar; adaptar; coordenar; retificar; acomodar; conciliar
 调整，使…适合；校准"
"adjuster
[ad'just·er || -tə]
n. slack adjuster"," ajustador; organizador; adaptador; orientador
 [自] 调节器；调停者；（保险等）理算员"
"adjustment
[ad'just·ment || -tmənt]
n. structural adjustment"," ajustamento; acomodação
 调整，调节；调节器"
"advance
[ad·vance || əd'vɑːns]
n. in advance"," avanço; progresso;modernização; promoção; adiantamento
v. avançar; promover; propor, sugerir; pagar adiantado
adj. cedo; avançado
 发展；前进；增长；预付款"
"advanced
[ad'vanced || -st]
adj. advanced technology"," avançado; moderno
 先进的；高级的；晚期的；年老的"
"advancement
[ad'vancement || -mənt]
n. "," avanço, adiantamento; progresso
 前进，进步；提升"
"advantage
[ad·van·tage || əd'vɑːntɪdʒ]
n. take advantage of"," vantagem; lucro; superioridade
v. ser vantajoso para determinado fim, ajudar, beneficiar, auxiliar
 优势；利益；有利条件"
"adventure
[ad·ven·ture || əd'ventʃə]
n. adventure film"," aventura; risco
v. aventura; risco; incidente
Adventure
[ad·ven·ture || əd'ventʃə]
n. Adventure (aventura), revista da companhia geográfica americana especializada em excursões e aventuras explorando a natureza
 冒险；冒险精神；投机活动"
"Adventure
[ad·ven·ture || əd'ventʃə]
n. adventure film"," Adventure (aventura), revista da companhia geográfica americana especializada em excursões e aventuras explorando a natureza
adventure
[ad·ven·ture || əd'ventʃə]
n. aventura; risco
v. aventura; risco; incidente
 冒险；冒险精神；投机活动"
"adverse
[ad·verse || 'ædvɜːs]
adj. adverse effect"," contrário; adverso; oposto
 不利的；相反的；敌对的（名词adverseness，副词adversely）"
"advert
[ad·vert || əd'vɜːt]
n. "," anúncio; publicação (Informal)
v. advertir, atentar a; referir (-se)
 注意；谈到"
"advertising
['ad·ver·tis·ing || 'ædvətaizɪŋ]
n. advertising agency"," propaganda
 广告；广告业；登广告"
"advice
[ad·vice || əd'vaɪs]
n. seek advice"," aviso; conselho
 建议；忠告；劝告；通知"
"advise
[ad·vise || əd'vaɪz]
v. please advise"," aconselhar; avisar; informar
 建议；劝告，忠告；通知；警告"
"advocate
[ad·vo·cate || 'ædvəkət]
v. devil's advocate"," defender; advogar
n. advogado; defensor; patrono
 提倡，主张，拥护"
 , one who buys and sells stocks for customers in return for a commission [金融] 股票经纪人
"aid
[eɪd]
n. with the aid of"," ajuda; apoio; socorro; assistência
v. ajudar; socorrer
 援助；帮助；助手；帮助者"
